Date,AL522251 Corp,LW926911 Corp,UV965737 Corp,QZ914329 Corp,EI856512 Corp,JK556160 Corp,EJ668774 Corp,EK956113 Corp,JV519623 Corp,QZ027016 Corp,AP696780 Corp,AN264861 Corp,EJ896365 Corp,QZ932800 Corp,EK602872 Corp,EK876596 Corp,JK925831 Corp,EK413343 Corp,EC577397 Corp,EK817983 Corp,EJ825356 Corp,EH911617 Corp,EJ543555 Corp,EK950276 Corp,LW096988 Corp,EK323605 Corp,EH238660 Corp,ED202551 Corp,ED722564 Corp,DD114535 Corp,EC858966 Corp,QZ934215 Corp,ED520104 Corp,LW450039 Corp,UV353988 Corp,AL286544 Corp,QZ703311 Corp,DD101964 Corp,EK556874 Corp,EK711926 Corp,EJ557775 Corp,EK248504 Corp,EK589492 Corp,EG465527 Corp,EC972391 Corp,EJ825362 Corp,DD006150 Corp,AL606566 Corp,QZ388196 Corp,EF643945 Corp,EH428530 Corp,LW943413 Corp,QZ614061 Corp,EC281464 Corp,EI993209 Corp,AP218488 Corp,DD102109 Corp,JK919656 Corp,QZ934241 Corp,QZ186750 Corp,EK474239 Corp,QJ221473 Corp,AN506087 Corp,EK278403 Corp,QZ027014 Corp,DD116288 Corp,QZ926111 Corp,EF655174 Corp,AP365213 Corp,EH954198 Corp,EF298242 Corp,EK726109 Corp,AQ252828 Corp,QZ321647 Corp,EG572181 Corp,LW075231 Corp,EJ914322 Corp,AL531142 Corp,EF145527 Corp,JK918752 Corp,AL011199 Corp,EF300335 Corp,EJ503911 Corp,UV888227 Corp,EF082296 Corp,EI342886 Corp,EC988990 Corp,BK343472 Corp,EK424768 Corp,EK112497 Corp,EC775139 Corp,EG572197 Corp,EK492827 Corp,JV956668 Corp,QZ026677 Corp,AP157118 Corp,LW943373 Corp,EJ379529 Corp,EJ438862 Corp,AN447381 Corp,LW544865 Corp,AL482914 Corp,EF335970 Corp,EH301985 Corp,UV887597 Corp,QZ186744 Corp,QZ549248 Corp,EJ433497 Corp,EF082300 Corp,EJ914730 Corp,EJ999798 Corp,LW009646 Corp,EJ926334 Corp,EK647533 Corp,EF143473 Corp,EF481538 Corp,EK143534 Corp,EF082292 Corp,EH592043 Corp,AL085424 Corp,EJ392352 Corp,LW471192 Corp,AO584163 Corp,JK305023 Corp,EG572213 Corp,AN077116 Corp,LW449261 Corp,EF473239 Corp,AP954222 Corp,EJ577508 Corp,EK006565 Corp,EK006547 Corp,QZ506838 Corp,EJ547034 Corp,EI523569 Corp,EK143372 Corp,EG518956 Corp,AN751483 Corp,QZ099318 Corp,EJ887428 Corp,QZ230825 Corp,QZ556912 Corp,EJ347875 Corp,JV868916 Corp,EC755678 Corp,EC988967 Corp,BK343576 Corp,EJ392367 Corp,EK969554 Corp,EK101595 Corp,EF082268 Corp,EF082272 Corp,EF531147 Corp,EJ747333 Corp,EF801785 Corp,EJ781396 Corp,EJ814435 Corp,QJ616465 Corp
01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.61,,,,,,,,,,,,,,,,,,,,51.92,,,61.52,54.951,,,,,140.328,,,,180.907,164.56,101.51,,,,,86.208,27.625,,,157.124,,,16.799,,,,55.647,109.617,,94.117,145.489,160.351,,130.278,117.565,,82.24,25.147,,24.421,157.166,,56.111,-13.643,,80.807,,120.498,119.265,118.094,,,117.225,,65.966,,71.379,26.011,25.991,62.282,121.905,54.628,128.369,80.838,124.173,64.381,125.709,66.041,135.395,,182.848,,,,,124.17,132.979,,,55.408,122.41,67.213,122.684,122.948,
03/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.165,,,,,,,,,,,,,,,,,,,,59.1,,,60.214,63.56,,,,,141.141,,,,181.847,213.545,100.636,,,,,85.116,28.307,,,158.464,,,15.347,,184.622,115.138,54.086,110.849,,94.067,146.016,161.568,,131.662,115.309,,80.709,25.657,,24.83,158.366,,54.632,-27.133,,79.23,,118.227,120.332,119.663,,,118.714,,67.126,142.587,70.166,26.614,26.593,61.147,119.763,53.121,126.163,79.229,125.847,63.223,124.2,64.905,137.507,122.533,176.511,,,,120.64,122.033,131.229,,,55.224,121.07,65.466,121.515,121.953,
04/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.531,,,,,,,81.908,,,,,,,,,,,,,53.493,,,58.756,60.809,,84.804,,,139.822,,,,181.065,161.611,99.468,,,,,83.999,26.209,,147.657,158.225,12.321,,15.269,,184.686,115.286,52.53,109.776,,92.883,145.464,162.83,,131.211,115.711,,79.054,24.398,,23.871,157.805,56.139,54.42,-151.769,,77.934,,118.603,119.363,114.694,,152.726,113.548,,67.648,143.308,69.018,25.026,25.006,59.352,120.229,53.069,126.634,77.471,120.651,61.436,123.966,63.131,137.671,122.593,170.236,40.952,42.121,,120.676,122.521,131.74,63.276,162.754,54.767,121.535,63.802,121.978,122.412,
05/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.65,,,,,,,82.329,,,,,,,,,,,,,53.164,,,56.42,62.043,,85.128,,,138.581,,,,178.667,167.451,98.733,,,,,84.535,25.453,,148.603,156.782,12.195,,15.063,,183.375,114.066,49.993,107.819,,92.563,144.27,161.625,,130.178,113.353,,76.798,23.562,,22.938,156.06,56.339,54.008,-264.695,,76.049,,116.308,117.453,114.106,,153.653,112.904,,66.589,142.828,67.331,24.272,24.253,56.426,117.891,52.807,124.032,75.065,119.971,58.553,121.98,60.251,135.856,121.495,166.291,40.749,41.94,,119.535,119.888,129.021,63.445,163.573,54.907,119.11,61.542,119.535,119.949,
06/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.72,,,,,,,,,,,,,,,,,,,,53.663,,,56.893,62.193,,,,,139.355,,,,178.5,162.959,99.809,,,,,86.762,29.77,,,156.623,,,14.975,,181.407,112.434,50.536,108.169,,94.97,144.201,186.382,,131.75,113.399,,77.209,26.98,,26.143,155.496,,53.963,-264.325,,76.662,,116.35,117.031,125.119,,,126.571,,68.186,140.808,67.645,27.974,27.943,57.076,117.949,52.736,124.172,75.599,132.314,59.2,121.745,60.913,136.096,119.945,164.928,,,,117.941,120.009,129.107,,,55.019,118.928,61.953,119.301,119.668,
09/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.068,,,,,,,81.841,,,,,,,,,,,,,54.96,,,56.591,63.52,,84.962,,,137.499,,,,178.546,160.843,98.263,,,,,86.807,-3.803,,148.367,150.092,12.304,,15.362,,178.033,109.226,49.794,103.239,,94.796,142.412,186.437,,120.155,113.499,,76.928,-6.129,,-6.651,150.982,55.946,54.543,-262.233,,76.551,,116.452,110.001,90.278,,153.458,90.611,,70.005,137.858,67.868,-5.438,-5.461,56.36,117.961,53.213,124.25,74.982,96.888,58.517,121.318,60.265,132.433,116.84,169.801,40.671,41.795,,114.806,120.063,128.964,63.056,163.183,54.985,118.33,61.429,118.572,118.81,
10/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.415,,,,,,,81.985,,,,,,,,,,,,,57.678,,,55.782,67.171,,85.645,,,141.742,,,,178.696,161.286,99.515,,,,,86.938,-8.705,,149.383,149.461,12.019,,15.265,,180.186,111.507,49.342,112.307,,94.283,145.759,186.274,,130.979,113.852,,76.006,-11.473,,-12.222,153.844,55.8,54.115,-276.263,,75.691,,116.805,110.382,85.729,,154.457,84.518,,69.505,140.057,67.183,-10.561,-10.586,56.16,118.346,53.014,124.892,74.421,91.701,58.31,122.656,60.077,133.667,119.109,172.901,40.428,41.541,,117.08,120.707,129.777,62.928,163.956,55.185,119.143,60.845,119.478,119.807,
