Date,EJ587828 Corp,AN186890 Corp,EJ659528 Corp,EJ674167 Corp,EJ649517 Corp,EJ581231 Corp,EJ920995 Corp,EJ627710 Corp,EJ553406 Corp,EK069303 Corp,EJ897817 Corp,EJ443691 Corp,EJ515572 Corp,EJ934307 Corp,EJ826694 Corp,EJ534815 Corp,EJ715931 Corp,EK247585 Corp,EJ498874 Corp,EJ908617 Corp,EJ688391 Corp,EJ452011 Corp,EJ741756 Corp,EJ610002 Corp,EJ459493 Corp,EK233126 Corp,EJ479028 Corp,EJ534800 Corp,EK025072 Corp,EJ705872 Corp,EJ767257 Corp,EJ470284 Corp,EJ971610 Corp,EJ564219 Corp,EJ758684 Corp,EJ826682 Corp,EJ946283 Corp,EJ488325 Corp,EJ873058 Corp,EJ699643 Corp,EJ784272 Corp,EJ790549 Corp,EK144992 Corp,EJ724704 Corp,EJ749839 Corp,EJ498894 Corp,EJ774811 Corp,EJ639609 Corp,EJ495598 Corp,EJ699633 Corp,EJ649502 Corp,EJ570999 Corp,EJ853244 Corp,EJ528535 Corp,EK049043 Corp,EJ982718 Corp,EK082330 Corp,EJ993016 Corp,EJ946301 Corp,EK069321 Corp,EJ616923 Corp,EJ688401 Corp,EJ862943 Corp,EK040016 Corp,EJ733085 Corp,EK002549 Corp,EJ840046 Corp,EK006535 Corp,EK060695 Corp,EJ715921 Corp,EJ507290 Corp,EK013029 Corp,EK247579 Corp,AQ306937 Corp,EJ674162 Corp,EK171017 Corp,EJ591046 Corp,AP618124 Corp,AL473850 Corp,AO311188 Corp,EJ639604 Corp,EJ705867 Corp,EJ733080 Corp,AO849173 Corp,EK025090 Corp,EJ601488 Corp,EJ807539 Corp,EK120150 Corp,EK106827 Corp,EJ488330 Corp,EK093958 Corp,EJ495593 Corp,EJ817697 Corp,EJ724694 Corp,EJ616918 Corp,EK132698 Corp,EJ897805 Corp,AN038957 Corp,AQ217935 Corp,AO146638 Corp,EK049037 Corp,EJ807544 Corp,AO400713 Corp,EK002543 Corp,EK013023 Corp,EK180972 Corp,EJ971604 Corp,AP415462 Corp,EK171041 Corp,EJ553396 Corp,AP535320 Corp,EK157225 Corp,AO221797 Corp,AL382895 Corp,EJ958963 Corp,EJ659553 Corp,EJ817727 Corp,EJ528530 Corp,EJ627885 Corp,EJ873040 Corp,EJ887926 Corp,EJ452006 Corp,EJ749874 Corp,EJ767272 Corp,AP218220 Corp,EK093946 Corp,EK157213 Corp,EJ507110 Corp,EK180966 Corp,EK120132 Corp,EK144986 Corp,EJ564214 Corp,AP707134 Corp,EK233090 Corp,EJ570994 Corp,EK006523 Corp,EK106797 Corp,EK132674 Corp,AL746911 Corp,EJ862919 Corp,EJ839974 Corp,QJ910010 Corp,AQ473702 Corp,AQ023242 Corp,EJ920983 Corp,EJ934295 Corp,AQ555252 Corp,EJ888172 Corp,EJ851461 Corp,AQ385552 Corp,AQ123139 Corp,AO529967 Corp,EJ908557 Corp,AL601930 Corp,QJ807026 Corp,AO674339 Corp,AO583022 Corp,EK060689 Corp,AP113983 Corp,EK082342 Corp,AP043089 Corp,EK040034 Corp,AO771677 Corp,EJ993010 Corp,EJ958953 Corp,EJ982694 Corp,EJ515567 Corp,AP304602 Corp,EJ741751 Corp,EJ784292 Corp,EJ758669 Corp,EJ790539 Corp,EJ774771 Corp,QJ728198 Corp
01/01/2018,,270.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018,,261.213,372.893,394.757,405.364,375.961,413.516,403.233,371.539,413.237,413.267,425.499,369.248,412.969,417.579,371.26,402.078,393.213,374.796,412.255,406.438,410.28,432.987,400.776,402.66,401.078,379.94,357.677,386.79,397.131,420.196,397.135,410.694,370.344,430.25,166.358,379.568,387.013,412.541,391.157,417.771,412.802,397.921,412.608,431.578,327.003,415.616,380.357,374.578,371.335,360.374,372.287,420.682,368.392,419.472,405.434,390.764,410.638,418.589,377.652,404.972,374.164,410.302,411.922,438.434,412.43,410.624,405.702,408.007,367.19,365.291,409.078,366.424,225.098,366.564,372.705,374.292,280.313,312.466,275.36,366.885,328.843,392.203,298.038,407.665,373.701,389.784,392.532,391.252,360.813,403.197,336.291,350.782,375.292,359.168,399.334,375.725,,224.67,305.577,385.829,419.892,289.496,386.79,389.165,407.585,394.957,247.765,393.042,343.065,285.39,398.329,305.367,306.869,408.295,362.129,412.189,313.316,362.094,384.965,379.384,326.135,391.089,385.871,254.876,373.051,77.789,325.573,372.064,369.527,371.182,300.348,233.193,369.822,316.913,389.869,368.706,370.485,305.932,384.457,382.092,390.863,217.737,229.49,374.873,372.391,212.886,428.061,356.023,217.711,225.931,306.361,378.864,277.17,387.782,282.875,305.483,388.784,262.144,367.099,330.928,384.282,303.528,390.863,382.713,390.863,313.998,240.267,392.423,375.611,393.553,370.919,380.799,384.405
03/01/2018,,265.32,374.233,395.912,402.547,377.239,411.491,404.328,371.607,411.981,412.302,429.893,369.345,411.436,418.961,371.331,403.083,392.582,376.065,412.962,404.689,411.391,434.938,402.178,403.907,402.185,381.314,357.012,379.098,397.629,422.63,398.123,411.233,371.195,424.551,125.637,381,386.11,407.979,391.385,418.575,413.597,398.611,413.579,429.733,327.026,416.688,381.474,375.279,371.15,360.767,373.566,421.154,368.5,420.153,406.062,391.739,411.799,420.609,375.659,406.461,375.209,412.26,412.781,439.186,413.258,406.786,406.324,409.176,363.741,366.567,410.414,357.995,226.11,364.764,371.545,374.345,279.522,309.943,276.16,366.824,329.745,393.147,297.952,408.275,373.76,389.7,393.712,387.896,361.77,399.957,336.423,352.151,375.85,351.948,400.513,375.298,,225.182,290.621,378.658,420.354,289.331,379.098,389.12,408.884,395.344,247.481,394.224,342.484,285.339,399.904,290.26,295.847,409.457,355.683,414.064,313.73,363.052,384.981,379.461,327.119,392.033,386.825,254.454,361.6,74.711,325.733,370.921,360.257,370.888,301.361,233.132,369.555,317.295,385.107,361.67,362.023,295.117,384.477,382.134,391.249,218.157,229.888,369.845,373.167,213.456,428.978,357.119,218.131,225.971,306.481,379.64,325.741,383.148,283.26,305.588,388.743,261.619,366.431,329.648,377.73,302.933,391.249,383.097,391.249,314.413,240.062,393.367,375.598,394.493,362.646,380.828,378.331
04/01/2018,,260.242,373.598,395.203,405.873,376.573,407.118,403.589,373.596,412.34,411.416,428.842,371.334,410.618,418.484,373.319,402.384,391.796,375.387,411.929,404.329,410.652,434.223,401.476,403.064,401.396,391.672,358.708,376.563,399.033,422.7,397.475,412.186,370.531,423.787,111.314,381.344,380.96,407.258,391.508,417.754,412.778,397.781,413.046,428.994,325.937,415.965,380.823,374.491,372.418,359.646,372.902,422.473,370.487,421.373,406.892,390.908,410.981,419.804,373.127,405.81,374.073,411.567,411.988,440.271,412.453,406.066,407.207,411.798,362.606,365.899,409.715,355.549,224.798,363.625,371.122,376.339,280.267,306.724,274.546,365.703,328.559,391.995,295.832,409.174,375.786,391.012,392.927,387.112,360.658,399.17,335.335,351.198,375.259,350.869,399.726,373.902,,223.151,290.505,376.145,421.658,286.955,376.563,386.592,408.121,393.324,247.905,393.437,344.228,283.263,399.116,287.889,292.703,408.639,354.98,413.369,312.67,361.93,386.233,380.728,326.083,390.881,385.685,254.97,359.121,64.194,324.665,368.268,357.777,368.438,300.305,233.235,357.388,316.249,393.775,359.191,359.545,291.972,385.73,383.438,389.226,216.162,227.918,368.302,371.626,211.641,428.124,356.145,216.136,225.82,304.394,378.102,274.071,381.099,281.173,303.496,386.242,262.224,363.935,330.43,375.178,303.256,389.226,381.068,389.226,313.353,240.381,392.215,376.008,393.337,361.101,381.838,376.292
05/01/2018,,256.941,371.744,393.323,404.261,374.683,406.486,401.701,365.275,409.839,409.554,421.853,372.613,408.758,416.713,374.604,400.407,389.929,368.794,409.998,402.726,408.769,434.112,399.591,401.059,396.751,380.122,324.507,375.037,399.159,421.074,395.628,412.15,363.49,421.862,105.22,381.11,380.456,405.377,390.007,415.901,410.924,395.937,411.41,427.119,324.074,410.483,393.561,372.555,373.876,357.967,371.011,422.512,371.758,421.659,406.533,389.04,409.12,418.334,371.527,403.93,372.216,411.579,411.022,439.994,410.595,404.185,406.848,409.951,360.746,361.725,407.995,353.996,223.316,361.767,373.219,377.649,283.137,305.741,273.906,363.846,326.651,390.146,294.195,408.852,377.064,392.234,391.062,385.247,358.804,397.306,333.476,349.361,373.333,349.009,397.863,372.446,,221.419,295.716,374.611,421.682,285.392,375.037,385.068,406.26,391.67,249.981,391.571,346.75,281.606,397.251,286.325,291.74,406.778,356.611,413.415,310.807,360.072,387.283,381.683,324.249,389.031,383.833,257.289,357.58,60.628,322.804,362.484,356.236,366.895,298.436,234.653,355.836,314.384,411.834,357.651,358.005,291.008,386.758,384.368,387.571,214.473,226.263,366.571,369.895,210.218,426.15,354.321,214.448,226.73,302.761,376.372,275.931,379.45,279.983,301.863,384.712,264.754,362.402,333.76,373.652,305.407,387.571,379.41,387.571,311.49,242.256,390.365,376.899,391.488,359.351,382.863,374.643
06/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018,,258.561,386.549,392.83,404.793,376.786,406.907,401.824,364.852,409.642,409.126,425.072,372.854,408.305,416.453,374.815,399.952,389.48,368.371,409.488,403.907,408.587,434.334,399.796,400.455,396.303,385.942,330.997,374.861,399.134,420.447,397.158,412.149,363.067,421.485,50.044,382.845,380.923,404.948,389.887,417.475,411.07,395.566,411.561,426.719,323.656,410.057,394.698,373,374.845,354.919,370.588,393.921,372.005,421.691,406.508,389.004,408.667,417.991,371.343,403.965,371.793,411.889,410.574,439.805,410.754,403.758,406.826,409.519,360.319,361.303,407.599,353.789,223.112,361.338,375.165,377.836,286.191,307.304,274.472,363.426,326.186,389.721,294.808,408.833,377.255,392.782,390.614,384.798,358.392,396.859,333.064,348.897,374.08,348.592,397.415,372.327,,220.994,301.74,374.428,421.516,286.196,374.861,384.894,406.323,391.377,252.776,391.123,348.466,281.961,396.803,287.055,291.605,406.325,357.003,413.723,310.395,359.652,387.818,382.203,323.83,388.606,383.407,260.224,357.393,56.677,322.393,366.994,356.048,368.224,298.002,237.03,355.629,313.97,365.371,357.464,357.818,290.872,387.289,384.888,387.276,214.171,226.156,366.139,369.464,210.443,426.84,353.872,214.196,228.763,303.298,375.942,278.379,379.158,279.753,302.411,384.533,267.768,363.703,336.734,379.826,307.93,387.276,379.114,387.276,311.078,244.971,389.941,377.742,391.059,358.925,383.58,374.353
09/01/2018,,257.817,379.804,385.902,399.098,369.665,403.655,396.848,357.722,411.1,405.118,417.269,355.489,405.027,409.729,357.389,392.895,380.471,361.252,403.478,398.791,402.064,423.019,394.89,393.633,389.261,379.779,333.804,370.051,384.652,414.338,391.213,398.584,355.936,414.471,141.669,380.589,374.218,397.872,391.822,410.47,405.229,388.907,406.567,419.145,316.808,402.949,389.183,367.005,357.261,346.193,363.463,386.576,354.672,406.904,393.871,383.171,401.647,409.185,366.473,398.736,364.998,400.353,403.556,426.235,405.653,396.683,394.071,401.043,357.92,354.175,400.633,348.748,223.026,354.538,358.214,360.319,266.564,304.821,270.383,356.621,319.334,382.947,290.015,395.77,359.757,375.801,383.573,377.753,351.578,389.822,326.229,342.755,368.104,341.757,390.379,366,,215.141,298.355,369.559,407.224,282.182,370.051,380.086,400.807,385.541,235.567,389.094,327.829,275.11,389.764,284.34,288.466,399.303,352.853,402.043,303.531,352.846,371.295,366.102,316.961,381.832,376.618,242.332,352.464,53.574,315.541,363.765,351.118,360.879,290.992,221.545,350.589,307.1,363.243,352.535,352.889,287.733,370.806,368.535,381.438,208.208,220.084,358.785,362.827,205.649,421.774,346.954,205.95,214.538,298.807,369.309,308.124,373.351,274.064,297.931,379.669,249.291,359.591,315.361,375.013,290.085,381.438,373.272,381.438,304.215,228.301,383.167,362.28,384.286,361.644,367.367,368.54
10/01/2018,,258.8,384.285,386.303,386.977,370.063,402.002,398.753,358.12,414.261,406.177,422.473,361.062,406.092,410.625,362.99,393.341,385.828,363.953,403.743,393.573,399.832,425.844,399.216,394.137,392.077,380.501,334.185,370.433,386.362,416.809,393.12,401.614,358.671,414.934,194.507,378.088,374.744,398.272,395.36,410.815,406.858,389.185,410.523,419.06,317.18,403.372,392.488,368.294,360.427,345.042,363.861,387.879,360.239,410.471,396.587,383.846,401.991,409.529,381.667,405.027,365.363,403.461,406.002,429.89,407.324,397.074,396.842,404.151,353.874,356.856,401.047,348.867,223.311,336.005,359.319,365.965,268.581,306.619,272.057,356.99,319.67,383.311,293.279,398.714,365.4,379.224,383.923,378.103,351.95,390.172,326.604,344.67,371.049,342.133,390.729,374.535,,215.569,299.136,369.937,411.362,282.769,370.433,380.473,404.855,385.874,237.461,389.445,331.523,276.977,390.115,292.53,288.78,399.648,353.177,405.206,304.069,353.214,374.697,369.349,317.353,382.195,376.983,244.267,352.842,49.534,315.919,366.497,351.496,361.643,291.22,223.262,350.961,307.48,365.943,352.913,353.267,288.047,374.207,371.905,381.771,208.538,220.345,358.957,363.134,207.579,425.794,347.313,208.441,216.093,301.886,369.617,307.041,373.686,274.448,300.977,380.051,251.257,359.975,317.29,369.032,291.845,381.771,373.602,381.771,304.754,230.147,383.531,364.201,384.645,363.812,370.193,368.841
