Data ID,ISIN,Coupon,Maturity,DZBK,BACR,GS,BAC,NRUC,PSEC,C,Amount Issued,Currency,USD,EUR,GBP,OTHER,S&P,Moody,Numerical S&P,Numerical Moody,Numerical Average,Match
EJ783442 Corp,CH0220734930,3.238,8/30/2023,1,0,0,0,0,0,0,128880000,CHF,0,0,0,1,,NR,,,,Yes
EK637231 Corp,DE000WGZ7WN7,2.3,12/20/2021,1,0,0,0,0,0,0,116819244.8,EUR,0,1,0,0,,,,,,Yes
EI043155 Corp,DE000WGZ6244,6.5,12/2/2024,1,0,0,0,0,0,0,151940360,EUR,0,1,0,0,,,,,,Yes
EJ685273 Corp,DE000DZ1JBB0,3,12/30/2022,1,0,0,0,0,0,0,102923200,EUR,0,1,0,0,,A3,,70,70,Yes
EJ742907 Corp,DE000DZ1JA20,3.75,12/30/2022,1,0,0,0,0,0,0,25583400,EUR,0,1,0,0,,NR,,,,Yes
EK983000 Corp,DE000DG4T325,2.25,6/6/2025,1,0,0,0,0,0,0,136362000,EUR,0,1,0,0,A,A3,75,70,72.5,Yes
AP761165 Corp,DE000DG4UCQ0,1.13,11/6/2029,1,0,0,0,0,0,0,11611800,EUR,0,1,0,0,A+,A2,80,75,77.5,Yes
EJ847755 Corp,DE000DZ1J3P7,4.37,9/27/2023,1,0,0,0,0,0,0,10818000,EUR,0,1,0,0,,NR,,,,Yes
UV859523 Corp,DE000DG4T4H7,3.085,9/18/2030,1,0,0,0,0,0,0,11366800,EUR,0,1,0,0,A,A3,75,70,72.5,Yes
EK982922 Corp,DE000DG4T317,1.75,6/6/2023,1,0,0,0,0,0,0,68181000,EUR,0,1,0,0,A,A3,75,70,72.5,Yes
QJ126371 Corp,DE000DG4T4N5,3.3,10/14/2030,1,0,0,0,0,0,0,17166750,EUR,0,1,0,0,A,A3,75,70,72.5,Yes
EJ733141 Corp,DE000DZ1JCC6,3.2,12/30/2020,1,0,0,0,0,0,0,52214800,EUR,0,1,0,0,,,,,,Yes
EJ749109 Corp,DE000DZ1JB29,3.75,12/30/2022,1,0,0,0,0,0,0,91975100,EUR,0,1,0,0,,A3,,70,70,Yes
JK675091 Corp,DE000WGZ8SV6,0.25,4/7/2021,1,0,0,0,0,0,0,113758000,EUR,0,1,0,0,,,,,,Yes
LW807768 Corp,DE000DG4T7F4,0.45,7/14/2026,1,0,0,0,0,0,0,83350500,EUR,0,1,0,0,A+,A2,80,75,77.5,Yes
AN647166 Corp,DE000DG4UAS0,0.39,9/29/2023,1,0,0,0,0,0,0,167664000,EUR,0,1,0,0,A+,A2,80,75,77.5,Yes
EK830572 Corp,DE000DG4T2S8,0.48,4/2/2022,1,0,0,0,0,0,0,54399000,EUR,0,1,0,0,,A2,,75,75,Yes
UV890638 Corp,DE000DG4T4J3,3.1,9/23/2030,1,0,0,0,0,0,0,11173600,EUR,0,1,0,0,A,A3,75,70,72.5,Yes
AM849259 Corp,DE000DG4T978,0.7,3/23/2025,1,0,0,0,0,0,0,53906000,EUR,0,1,0,0,A+,A2,80,75,77.5,Yes
AN881293 Corp,DE000DG4UAV4,2,6/23/2025,1,0,0,0,0,0,0,7837970,EUR,0,1,0,0,A+,A2,80,75,77.5,Yes
